conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/88778b48-d8dd-4c7e-8154-6f45fab4b0e9,skill/competence,transversal,understand spoken Maltese,released,listen to Maltese | comprehend spoken Maltese | make sense of spoken Maltese | understand Maltese speech | understand spoken Maltese | interpret spoken Maltese | understanding spoken Maltese,Comprehend orally expressed Maltese.,http://data.europa.eu/esco/skill/cb50f9cd-3638-409b-8f93-befaf17d313e,Maltese
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/894f3286-ae58-4a13-a8ed-9aa7c5c77c18,skill/competence,transversal,interact verbally in Romani,released,communicate verbally in Romani | be fluent in Romani | interacting verbally in Romani | verbally interact in Romani | speak Romany | interact verbally in Romani | speak Romani,Communicate orally in Romani.,http://data.europa.eu/esco/skill/8ef3eccc-a847-430e-b828-cf178803b8c1,Romani
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/895b3eab-d1e7-443d-8ba3-745f67462207,skill/competence,transversal,interact verbally in Russian,released,interact verbally in Russian | verbally interact in Russian | speak Russian | communicate verbally in Russian | interacting verbally in Russian | be fluent in Russian,Communicate orally in Russian.,http://data.europa.eu/esco/skill/6891bbce-20bf-4afc-bd5e-75bdf54c0165,Russian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8a45f04a-cd28-4ac1-8e8b-ecfd21be0b18,knowledge,transversal,Hebrew,released,Hebrew | ability to comprehend spoken and written Hebrew and to speak and write in Hebrew | competent in Hebrew,The Hebrew language.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,languages | mastering languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8d09f7c2-d10c-4818-a91d-d2f1b8ec7973,skill/competence,transversal,write Gujarati,released,show competency in written Gujarati | writing Gujarati | correspond in written Gujarati | write Gujarati,Compose written texts in Gujarati.,http://data.europa.eu/esco/skill/9b0baaa7-fed3-41b7-b74e-9d459f11acfe,Gujarati
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,knowledge,transversal,Welsh,released,competent in Welsh | Welsh | ability to comprehend spoken and written Welsh and to speak and write in Welsh,The Welsh language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8e12171c-d2b4-4a79-a3ff-ebe18913cc9f,skill/competence,transversal,understand written Kazakh,released,understand written Kazakh | comprehend written Kazakh | understand Kazakh writing | read Kazakh | interpret written Kazakh | understanding written Kazakh | make sense of written Kazakh,Read and comprehend written texts in ​Kazakh.,http://data.europa.eu/esco/skill/f37dbb3c-dafc-4835-86d1-de9615626f9b,Kazakh
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8e46288c-025c-4d28-8316-13a21f25f964,skill/competence,transversal,understand spoken Serbian,released,comprehend spoken Serbian | interpret spoken Serbian | understanding spoken Serbian | listen to Serbian | understand spoken Serbian | understand Serbian speech | make sense of spoken Serbian,Comprehend orally expressed Serbian.,http://data.europa.eu/esco/skill/c5cb0cc1-c40b-4544-a21c-8472f0b5c14a,Serbian
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8ee2b6f2-7017-4b9a-9de2-4dedf0711394,knowledge,transversal,Catalan,released,competent in Catalan | Catalan | ability to comprehend spoken and written Catalan and to speak and write in Catalan,The Catalan language.,http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10 | http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66,mastering languages | languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8ef3eccc-a847-430e-b828-cf178803b8c1,knowledge,transversal,Romani,released,Romany | Romani | competent in Romani | ability to comprehend spoken and written Romani and to speak and write in Romani,The language family of Romani languages.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,languages | mastering languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8f1efe4e-5f92-43b0-a329-3c17c1460a37,skill/competence,transversal,understand written Azerbaijani,released,comprehend written Azeri Turkish | comprehend written Azerbaijani | read Azerbaijani | understand written Azerbaijani | understanding written Azerbaijani | make sense of written Azerbaijani | interpret written Azerbaijani | comprehend written Azerbaijani Turkish | comprehend written Azeri | understand Azerbaijani writing,Read and comprehend written texts in Azerbaijani.,http://data.europa.eu/esco/skill/5bfce8e7-6f22-4e67-9018-0e4161620f3a,Azerbaijani
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8f4c0fe6-10c7-409e-92d6-245f46728209,skill/competence,transversal,Irish,released,competent in Irish | ability to comprehend spoken and written Irish and to speak and write in Irish | Irish | Gaelic | Irish Gaelic,The Irish language. Irish is an official and working language of the EU.,http://data.europa.eu/esco/skill/43f425aa-f45d-4bb4-a200-6f82fa211b66 | http://data.europa.eu/esco/skill/9adca63b-9c75-4804-8dab-d62872540a10,languages | mastering languages
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/8ff32017-9a19-400c-8de5-8a93198864be,skill/competence,transversal,write Maltese,released,show competency in written Maltese | correspond in written Maltese | writing Maltese | write Maltese,Compose written texts in Maltese.,http://data.europa.eu/esco/skill/cb50f9cd-3638-409b-8f93-befaf17d313e,Maltese
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/91161335-8adf-4567-8fa5-62fb37948664,skill/competence,transversal,write Walloon,released,show competency in written Walloon | write Walloon | correspond in written Walloon | writing Walloon,Compose written texts in ​Walloon.,http://data.europa.eu/esco/skill/d54d7c00-87c4-4f78-af8d-e84577372974,Walloon
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9273eec7-e9ce-4860-88fb-9f30faeea34d,skill/competence,transversal,understand written Serbian,released,understand Serbian writing | read Serbian | comprehend written Serbian | interpret written Serbian | understanding written Serbian | understand written Serbian | make sense of written Serbian,Read and comprehend written texts in Serbian.,http://data.europa.eu/esco/skill/c5cb0cc1-c40b-4544-a21c-8472f0b5c14a,Serbian
