conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e5deced2-5636-4ff2-b9bc-dca6cbfc5f72,design a combined heat and power system,released,skill/competence,sector-specific,design a chp system,"Estimate the heating and cooling demands of the building, determine the demands of domestic hot water. Make a hydraulic scheme to fit in the CHP unit with a guaranteed return temperature and acceptable on/off switch numbers.",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,designing electrical or electronic systems or equipment
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e5f77488-7561-475a-9888-decd2443d37a,train staff on waste management,released,skill/competence,sector-specific,waste management training for staff | educating staff on waste management | training staff on waste management | educate staff on waste management | train staff on waste management | educate staff about waste management | educating staff about waste management,"Train the staff of a facility which deals with waste management, or an organisation's staff responsible for waste management strategies, on the improvements that can be made to reduce waste, increase efficiency of waste treatment and disposal, and ensure compliance with waste and environmental legislation.",http://data.europa.eu/esco/skill/73a9561d-112c-4d8a-9d5f-b2c11c5bbd5f | http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b | http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,manage waste | instruct others | training on operational procedures
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e65117b6-97e0-4f45-bd61-e581dcd6ec2a,select adequate packaging for food products,released,skill/competence,sector-specific,select adequate packaging for a food product | selecting adequate packaging for food products | identify adequate packaging for food products | select adequate packaging for food products | choose adequate packaging for food products | use adequate packaging for food products | pick adequate packaging for food products,"Choose the appropriate packages for food products taking into account attractiveness and suitability of the package. Use proper packaging for sending it safely and at a reasonable cost. Have awareness that packaging can also influence the product characteristics such as shape, weight or solidity. Balance out various aspects such as cost, attractivity and compliance with regulations and environment protection.",http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47 | http://data.europa.eu/esco/skill/8da6cd59-61e1-43c4-8dfc-bc69d283ccc7,make decisions | packaging objects
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e671c957-b998-49df-b630-7908806966f1,inform customers environmental protection,released,skill/competence,cross-sector,inform customer environmental protection | inform customers environmental protection | inform clients environmental protection | brief customers on environmental protection | notify clients of environmental protection status | informing customers environmental protection | notify customers of environmental protection status | brief clients on environmental protection,Provide customers with information on the impact their heating systems have on the environment and to what extent this impact can be reduced to a minimum by handling the systems in an environmentally friendly way or by using environmentally friendly systems.,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d | http://data.europa.eu/esco/skill/f6d7ba88-5234-4994-944d-843ca453c923 | http://data.europa.eu/esco/skill/062a9fde-cd91-44f9-9a2f-9e2bc3b281fd,advise others | implement environmental protection measures | advising on environmental issues
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e7c47c8c-7110-4c56-bca1-f56a2c3ed11b,phytosanitary measures,released,knowledge,sector-specific,provide protection from contamination and pests | provide protection from disease | measures for phytosanitary | phytosanitary measure | phytosanitary measures,"Measures related to controlling plant and crop diseases, pests, and pathogens.",http://data.europa.eu/esco/isced-f/0511,biology
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e85cff6b-ee0e-4106-98f0-b57b39a2ea3f,execute disease and pest control activities,released,skill/competence,sector-specific,perform disease control activities | execute pest control activities | perform pest control activities | pest control activities executing | execute disease control activities | perform disease and pest control activities | executing pest control activities | disease control activities executing | executing disease control activities | executing disease and pest control activities | disease and pest control activities executing | execute disease and pest control activities,"Execute disease and pest control activities using conventional or biological methods taking into account the climate, plant or crop type, health and safety and environmental regulations. Store and handle pesticides in accordance with recomandation and legislation.",http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,complying with environmental protection laws and standards
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e979659d-d06e-4968-b4b2-ac51e379b552,design hybrid operating strategies,released,skill/competence,occupation-specific,,"Design operating strategies for hybrid drive systems, accounting for the boundaries for energy recuperation and its limiting factors. Consider the possible benefits connected to load shifting and how load shifting can improve the energy management. Understand the problems connected to intermittent operation of the internal combustion engine.",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,designing electrical or electronic systems or equipment
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e9d6ebab-13ad-45ce-a955-fc3f1e56add8,plan measures to safeguard natural protected areas,released,skill/competence,sector-specific,,"Plan protection measures for natural areas that are protected by law, to reduce the negative impact of tourism or natural hazards on the designated areas. This includes activities such as controlling the use of land and natural resources and monitoring the flow of visitors.",http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,complying with environmental protection laws and standards
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/e9e57db9-a6ef-4e44-a33c-a022d7c4a17f,environmental indoor quality,released,knowledge,sector-specific,eiq,The consequences on indoor environmental quality of every choice made in the design process.,http://data.europa.eu/esco/skill/75f312e1-622b-4751-8d93-815b32feaf8d | http://data.europa.eu/esco/isced-f/0712,pollution prevention | environmental protection technology
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/eac55ce8-82f5-4ff0-bdff-64872d8c51ea,natural history,released,knowledge,occupation-specific,natural history | history of plants and animals in their environment,The history of natural organisms and ecosystems.,http://data.europa.eu/esco/isced-f/0222 | http://data.europa.eu/esco/skill/2b22f3b1-5de4-43f9-b6d1-b20f65871268,history and archaeology | history
