conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9e14c1d8-72f2-45ba-815d-0d12e12d19fa,create thematic maps,released,skill/competence,cross-sector,creating of thematic maps | create thematic maps | thematic maps creation | creation of thematic map | apply map making techniques | thematic map creation | applying map making techniques | creating thematic maps | making thematic maps | creation of thematic maps | make thematic maps | thematic map making,"Use various techniques such as choropleth mapping and dasymetric mapping to create thematic maps based on geospatial information, using software programmes.",http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b,using computer aided design and drawing tools
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9ecd4016-b9de-480d-8ec3-9881644f0eda,use sound measuring instruments,released,skill/competence,occupation-specific,employ sound measuring instruments | apply sound measuring instruments | operate sound measuring instruments | sound measuring instrument use | using sound measuring instruments | use sound measuring instruments,Operate instruments such as transducers and sound level meters to measure noise levels in an environment in order to prevent noise pollution.,http://data.europa.eu/esco/skill/c8f4aad2-ea23-49a2-9708-a6049c2d28ce | http://data.europa.eu/esco/skill/b92758d4-4591-4df1-9ceb-f907aa71ebd9,using precision measuring equipment | use measurement instruments
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9ef0f3a0-9ce2-4ef1-a987-0366b5cb2dbe,database development tools,released,knowledge,sector-specific,database development tools,"The methodologies and tools used for creating logical and physical structure of databases, such as logical data structures, diagrams, modelling methodologies and entity-relationships.",http://data.europa.eu/esco/isced-f/0612,database and network design and administration
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9effa3d7-c0c4-4583-ad94-b496ba5e5f2c,data mining methods,released,knowledge,cross-sector,data mining approaches | data mining arrangements | data mining mechanisms | a data mining method | data mining methods | methods of data mining | data mining methodology | data mining processes,Data mining techniques used to determine and analyse the relationship between different elements of economy and marketing.,http://data.europa.eu/esco/isced-f/0612 | http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,database and network design and administration | data mining
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9faa44df-0821-4f69-8f86-184c799cf44f,HeroEngine,released,knowledge,sector-specific,HeroEngine,"The cloud-based real-time collaborative platform that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games. 
 ",http://data.europa.eu/esco/skill/966f2fd3-3de6-42da-b87c-da924c6d7960 | http://data.europa.eu/esco/isced-f/0211,digital game creation systems | audio-visual techniques and media production
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9ff9db9d-d14b-426e-83f3-e7449af6c79f,manage data,released,skill/competence,sector-specific,operate data quality tools | manage data lifecycle | manage data | data resource management | administer data | data administration,"Administer all types of data resources through their lifecycle by performing data profiling, parsing, standardisation, identity resolution, cleansing, enhancement and auditing. Ensure the data is fit for purpose, using specialised ICT tools to fulfil the data quality criteria.",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,managing information
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a056851d-4a8b-4007-b0f6-8224ca1ec1c2,computational linguistics,released,knowledge,sector-specific,computational linguistics | the study of computational linguistics | computational linguistic studies | computing linguistics | linguistics of computation,The computer science field that researches the modelling of natural languages into computational and programming languages.,http://data.europa.eu/esco/skill/810df100-e85a-4c13-b619-34030a75ecc2 | http://data.europa.eu/esco/isced-f/0232,linguistics | literature and linguistics
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a06a0d41-10fa-4ba7-a988-e8b5eba966fb,mobility as a service,released,knowledge,sector-specific,MaaS,"The provision of mobility services through digital technologies enabling customers to plan, book and pay for their trip. It includes the offer of shared and sustainable mobility services tailored on users' travel needs and the knowledge of different applications used for this purpose.",http://data.europa.eu/esco/isced-f/1041,transport services
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a06aa85f-2879-4a02-a6bd-cd60cdfc3f12,automated optical inspection,released,knowledge,sector-specific,SMMD AOOI | PCB inspection | PCCB AOOI | optical inspection which is automated | SMD inspection | automated optical inspection | AOOI | inspection of SMD,"During automated optical inspection (AOI), printed circuit boards (PCB) or surface-mount devices (SMD) are inspected by means of an automated optical inspection machine. During each automated optical inspection test, dozens of images are captured with a special camera and compared to previous assembled boards to detect any anomalies.",http://data.europa.eu/esco/isced-f/0914,medical diagnostic and treatment technology
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a0b6f2b8-0f41-420d-9d7b-942026f83b50,aquaculture production planning software,released,knowledge,sector-specific,types of aquaculture production planning software | kinds of aquaculture production planning software | aquaculture production planning software | types of fish farming software | range of fish farming software | typology of aquaculture production planning software | typology of fish farming software | kinds of fish farming software | range of aquaculture production planning software,The functioning principles and usage of a software dedicated to the planning of aquculture production.,http://data.europa.eu/esco/skill/5475343c-5e75-415f-b431-17f3c20a347e | http://data.europa.eu/esco/isced-f/0831,use production planning software | fisheries
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a0bf9b9d-e53f-418c-a839-5d99eff718fe,conduct search engine optimisation,released,skill/competence,cross-sector,organise search engine optimisation | carry out search engine optimisation | conduct search engine optimization | manage search engine optimisation | undertake search engine optimisation | conduct a search engine optimisation | conducting search engine optimisation | conducting a search engine optimisation,"Execute optimal marketing research and strategies on search engine processes, also known as search engine marketing (SEM), in order to increase online traffic and website exposure.",http://data.europa.eu/esco/skill/258fea29-09db-4918-8235-0d7d529cd31c,"browsing, searching and filtering digital data"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a12057b4-6d11-4a12-ab8e-15a028ef0a6d,interact through digital technologies,released,skill/competence,cross-sector,use e-mail software and services | utilise online communication tools | able to use online communication tools | using online communication tools | communicate on-line | make use of online communication tools | interact through digital technologies | apply online communication tools | communicate in digital environments | use online communication tools | interact through ICT,Interact through a variety of digital technologies and understand appropriate digital communication means for a given context.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,digital communication and collaboration | using digital tools for collaboration and productivity
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a1388163-462a-4b76-8649-67470ea858a1,search databases,released,skill/competence,cross-sector,search databases | research in databases | search database | look through databases | consult databases | searching databases,Search for information or people using databases.,http://data.europa.eu/esco/skill/ba93b71b-c433-4a01-8246-ed2daa85a9a2 | http://data.europa.eu/esco/skill/258fea29-09db-4918-8235-0d7d529cd31c | http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650 | http://data.europa.eu/esco/skill/4463a721-69f3-413d-8321-43e3af13a4f1,"conduct web searches | browsing, searching and filtering digital data | evaluate data, information and digital content | use databases"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a18b1d91-f0bd-495d-ba8e-d9532f117b89,video-games functionalities,released,knowledge,cross-sector,video-games insights | video-game functionalities | video-games systems | video-games characteristics | video-games functionalities | video-games functionality,Characteristics and insights of video-games in order to advise customers accordingly.,http://data.europa.eu/esco/isced-f/0416,wholesale and retail sales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a283db93-b160-4b6f-9855-4e79806c4674,Project Anarchy,released,knowledge,sector-specific,Project Anarchy,"The mobile game engine which is a software framework that consists of integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games. 
 ",http://data.europa.eu/esco/isced-f/0211 | http://data.europa.eu/esco/skill/966f2fd3-3de6-42da-b87c-da924c6d7960,audio-visual techniques and media production | digital game creation systems
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a2842c30-be76-4327-9dce-ff56cf830533,perform scrambling operations,released,skill/competence,occupation-specific,perform message scrambling operations | perform scrambling operations | encoding messages | scrambling operations performing | performing message scrambling operations | performing scrambling operations | encoding data | undertake encoding | undertake data encoding | carry out encoding | encode data | encode messages | carry out data encoding,"Control and monitor the air force radio network and perform scrambling operations or intrusions, which mean to disrupt the functioning of adverse emissions. Scrambling is mostly performed on voice communication and signals by the use of Digital Signal Processors (DSP).",http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,operating communications equipment
